,date,btc_hashrate,eth_hashrate,ltc_hashrate,btc_tweets,eth_tweets,ltc_tweets,btc_transactions,eth_transactions,ltc_transactions,btc_marketcap,eth_marketcap,ltc_marketcap,btc_difficulty,eth_difficulty,ltc_difficulty
2252,2015-03-05,299948994002450880,null,1059284072137,24174,null,611,100983,null,5777,3709051959,null,69650461,46684376317,null,39535
2253,2015-03-06,339569113114506176,null,1069953568916,22774,null,937,93721,null,3857,3743490367,null,69993869,46684376317,null,39081
2254,2015-03-07,328769714323935232,null,1120735809046,19322,null,415,91365,null,4681,3770745353,null,70032618,46684376317,null,39081
2255,2015-03-08,352832490187145664,null,1160337643729,19396,null,393,87371,null,4343,3787174820,null,70546748,46832059250,null,39048
2256,2015-03-09,349775517756638720,null,1197861181384,23937,null,458,105392,null,4190,3905545346,null,71220798,47427554951,null,38801
2257,2015-03-10,334104788680366784,null,1191335711336,28378,null,462,105389,null,4562,4037467862,null,74086009,47427554951,null,38801
2258,2015-03-11,387009419587123840,null,1218673754403,25733,null,579,100611,null,4408,4046540196,null,73933165,47427554951,null,38801
2259,2015-03-12,328289122083858624,null,1200472886322,24527,null,572,96964,null,4177,4060711236,null,74969902,47427554951,null,41182
2260,2015-03-13,327868338090048192,null,1145077929980,25574,null,1842,95890,null,3894,4009443994,null,74308180,47427554951,null,41676
2261,2015-03-14,329395011680886592,null,1239392767021,21952,null,529,89380,null,4460,3874168653,null,72875401,47427554951,null,41676
2262,2015-03-15,327398023092139968,null,1152246538239,24161,null,412,84791,null,3559,3882361636,null,73205561,47427554951,null,41424
2263,2015-03-16,334400729832607488,null,1102121627837,24071,null,539,105079,null,4132,4010403902,null,75098381,47427554951,null,40766
2264,2015-03-17,321643691858967552,null,1098073416866,36584,null,518,99433,null,3788,3976505646,null,73981211,47427554951,null,40766
2265,2015-03-18,332111160342812928,null,990214315722,24807,null,460,99454,null,4004,3711914210,null,68049593,47427554951,null,40766
2266,2015-03-19,344433072118044992,null,851169467689,31393,null,581,106160,null,4092,3532769354,null,64482015,47427554951,null,39541
2267,2015-03-20,325342864173216384,null,852005580227,26773,null,428,103200,null,3800,3580986127,null,65348970,47427554951,null,34843
2268,2015-03-21,334785720067713024,null,1047276516275,23297,null,373,92685,null,4162,3581268900,null,64972719,47427554951,null,34843
2269,2015-03-22,319357698142332480,null,1166295666053,27846,null,349,90444,null,4480,3663044667,null,66219783,47417554876,null,34843
2270,2015-03-23,349076011592994944,null,1167205166595,34762,null,437,105874,null,4147,3703403660,null,66423119,46717549645,null,36804
2271,2015-03-24,383484795237384320,null,1140222173334,31576,null,359,92754,null,3938,3532367845,null,63919925,46717549645,null,37087
2272,2015-03-25,386897965252527808,null,1177444070681,35297,null,420,96976,null,4203,3406105421,null,63725856,46717549645,null,37087
2273,2015-03-26,354792571367392256,null,1291443999968,37079,null,1801,101033,null,3700,3473031729,null,63688908,46717549645,null,39769
2274,2015-03-27,386983917156488448,null,1138394607559,36691,null,380,99320,null,3429,3433843051,null,62768252,46717549645,null,41040
2275,2015-03-28,363286583772694016,null,1185254745292,31697,null,464,87226,null,3699,3492921032,null,63550859,46717549645,null,41040
2276,2015-03-29,349825920606266752,null,1248996928594,31897,null,435,90363,null,3848,3384158959,null,62185994,46717549645,null,41119
2277,2015-03-30,331645072787675776,null,1213413796285,38669,null,439,106213,null,3565,3389671171,null,62028799,46717549645,null,41342
2278,2015-03-31,347613951643670720,null,1229218330913,35388,null,433,114961,null,3855,3395850308,null,61688876,46717549645,null,41342
2279,2015-04-01,325634581194602560,null,1144043838944,34237,null,434,119211,null,3714,3365836303,null,61540184,46717549645,null,41342
2280,2015-04-02,344519968949135872,null,1095240374777,29264,null,428,111904,null,3523,3439375607,null,62629095,46717549645,null,41080
2281,2015-04-03,364985879476923328,null,1195114499343,30317,null,481,104400,null,3422,3499457349,null,62908708,46717549645,null,40972
2282,2015-04-04,352322684405100480,null,1252779688119,27885,null,2948,89498,null,3456,3488881371,null,62559198,46717549645,null,40972
2283,2015-04-05,362381921138255616,null,1191356074483,29227,null,397,94875,null,3391,3531385869,null,63211579,48985437809,null,41219
2284,2015-04-06,345332670176198720,null,1177546051387,29046,null,403,107323,null,3721,3549165085,null,62839375,49446390688,null,41886
2285,2015-04-07,350785852718678976,null,1207737634785,29994,null,416,108562,null,3627,3472966349,null,62072233,49446390688,null,41886
2286,2015-04-08,322226983101538944,null,1254342198873,37076,null,439,110626,null,5383,3430418919,null,61508099,49446390688,null,41886
2287,2015-04-09,341247635156977088,null,1213513154828,37353,null,502,116487,null,3968,3376186560,null,59714969,49446390688,null,42212
2288,2015-04-10,336436081666972224,null,1167206485064,28657,null,370,112674,null,4963,3292864085,null,57735900,49446390688,null,42294
2289,2015-04-11,361827206567274240,null,1192446180461,27225,null,407,99289,null,4894,3256189108,null,56355256,49446390688,null,42294
2290,2015-04-12,343471898854128640,null,1233303814082,25877,null,397,86871,null,3949,3260096190,null,55133601,49446390688,null,42099
2291,2015-04-13,328593657298015104,null,1227128740750,29205,null,423,115251,null,3584,3196105575,null,53959197,49446390688,null,41592
2292,2015-04-14,389569122088827328,null,1095643180053,30124,null,415,110001,null,4751,3054405506,null,51044167,49446390688,null,41592
2293,2015-04-15,321274467256804800,null,1197339566785,28598,null,456,107484,null,4462,3087015706,null,52516075,49446390688,null,41592
2294,2015-04-16,335681372520515968,null,1294154681773,34517,null,400,98908,null,3957,3160494378,null,53259550,49446390688,null,41538
2295,2015-04-17,319269569375139584,null,1199558349737,28275,null,363,102629,null,3885,3125917649,null,53384017,49446390688,null,41521
